,Unnamed: 0,composition,mp-id,target,space_group
1592,1592,K2MnSnSe4,mp-628305.cif,1.7,118.0
1593,1593,K2Mo2Se2O11,mp-1195788.cif,3.3,62.0
1594,1594,K2Nd2Ti3O10,,3.25,139.0
1599,1599,K2RbSb,mp-976148.cif,1.2,225.0
1600,1600,K2ReH9,mp-29877.cif,5.71,189.0
1601,1601,K2Se,mp-8426.cif,1.9,225.0
1602,1602,K2Sm2Ti3O10,,3.26,139.0
1603,1603,K2SmP2S7,mp-555587.cif,2.59,5.0
1609,1609,K2Ti(CuS2)2,mp-1211474.cif,2.04,132.0
1615,1615,K3Bi2I9,,2.1,14.0
1617,1617,K3Cr2(PS4)3,mp-559251.cif,1.35,14.0
1618,1618,K3Th2Cu3S7,,2.49,60.0
1620,1620,K3Ga3Ge7Se20,,2.23,14.0
1622,1622,K3Nb2AsSe11,mp-542545.cif,1.53,9.0
1623,1623,K3Sb,641351.cif,1.4,225.0
1630,1630,K2BaNb2S11,mp-1212599.cif,1.77,14.0
1631,1631,K4Cu6(GeS4)3,,2.2,226.0
1632,1632,K4Ge(PSe3)4,mp-1195433.cif,2.0,29.0
1633,1633,K4GeS4,mp-556627.cif,0.8,218.0
1634,1634,K4GeSe4,mp-568847.cif,0.64,218.0
1635,1635,K4Hf3Se14,,2.02,15.0
1637,1637,K4Nb2S11,mp-15148.cif,1.96,29.0
1639,1639,K2ScP2Se7,mp-1195538.cif,2.25,15.0
1644,1644,K6Cd4Sn3Se13,mp-6296.cif,2.33,160.0
1645,1645,K6CdTe4,420087.cif,2.51,186.0
1646,1646,K3FeO3,mp-504570.cif,1.554,12.0
1647,1647,K6Yb3(PS4)5,mp-683975.cif,2.6,15.0
1648,1648,K4Al4Si19,,1.4,223.0
1650,1650,K9Bi13S24,,1.4,12.0
1651,1651,KV4Ag11O16,mp-553910.cif,2.0,61.0
1652,1652,KAg2AsS3,,2.25,2.0
1655,1655,KAgAsS2,,2.21,14.0
1656,1656,KAlGeS4,,3.5,140.0
1657,1657,KAsSe2,mp-14659.cif,1.63,9.0
1659,1659,KPAu5S8,,2.14,14.0
1662,1662,KBaAsSe3,mp-1191826.cif,2.26,14.0
1663,1663,KBaB5O9,mp-557420.cif,3.65,14.0
1667,1667,KBiHI3O10,,3.5,2.0
1669,1669,KBi3S5,mp-1223584.cif,1.21,62.0
1670,1670,KCu2BiS3,mp-1194436.cif,1.29,2.0
1671,1671,KSiBiS4,421485.cif,2.25,14.0
1673,1673,KCeSe4,mp-22395.cif,1.54,125.0
1674,1674,KCu3S2,100001.cif,1.459,12.0
1675,1675,KCu4AsS4,mp-557728.cif,1.9,4.0
1676,1676,KThCuS3,mp-12365.cif,2.95,63.0
1679,1679,KFeCuTe2,,1.06,139.0
1680,1680,KFeSe2,632405.cif,0.44,15.0
1682,1682,KGaSnSe4,,1.73,14.0
1684,1684,KIO3,mp-23487.cif,4.02,1.0
1686,1686,KInGeS4,,3.1,205.0
1687,1687,KInS2,mp-505412.cif,3.0,15.0
1692,1692,KLa9(Ge3O13)2,,3.92,176.0
1693,1693,KNb2PSe10,mp-1195772.cif,1.15,7.0
1694,1694,KNb3(SeO6)2,mp-1202434.cif,3.46,57.0
1697,1697,KPSe6,mp-18625.cif,2.16,29.0
1699,1699,KPPbO4,,4.44,62.0
1701,1701,KSb,mp-1536.cif,0.9,14.0
1702,1702,KSb5S8,,1.82,11.0
1703,1703,KSb5S8,mp-15559.cif,1.82,7.0
1705,1705,KSb(SO4)2,mp-1195296.cif,4.64,14.0
1707,1707,KSi2P3,,1.72,15.0
1708,1708,KSm2CuS4,mp-11604.cif,2.17,63.0
1709,1709,KTa3(TeO6)2,mp-1200554.cif,4.06,57.0
1710,1710,KTbSe4,,1.65,125.0
1713,1713,KVH2I2O9,,3.39,19.0
1714,1714,KVH2I2O9,,2.78,61.0
1717,1717,KZn4(BO3)3,mp-6652.cif,2.32,13.0
1719,1719,KZrPSe6,mp-639149.cif,2.0,26.0
1720,1720,LaI2NO9,,4.23,152.0
1721,1721,LaH2NO5,,4.76,11.0
1723,1723,La14(RuCl4)5,,0.11,2.0
1725,1725,BaLa2Te5O14,mp-559703.cif,3.81,15.0
1726,1726,La2TiCoO6,,1.02,14.0
1727,1727,La2VCoO6,,0.41,62.0
1730,1730,La2MnNiO6,mp-1188812.cif,1.4,14.0
1731,1731,La2MnNiO6,mp-1223253.cif,1.2,148.0
1732,1732,La2MoO5,,0.5,83.0
1733,1733,La2VNiO6,,0.45,62.0
1734,1734,La2Fe(SeO)2,mp-1201876.cif,0.7,33.0
1736,1736,La2Zn(SeO)2,mp-1196943.cif,3.4,64.0
1738,1738,La2Te3,,0.1,220.0
1740,1740,La2YbCuS5,,1.45,62.0
1741,1741,La2YbCuSe5,,1.15,62.0
1742,1742,La2ZrS5,mp-1198687.cif,2.01,62.0
1746,1746,La3Mo4O16F,mp-1198818.cif,3.7,2.0
1749,1749,La3Ga5SnO14,55416.cif,4.6,150.0
1750,1750,La3Te4,mp-879.cif,0.43,220.0
1751,1751,La4Cd4In2S13,mp-1196490.cif,2.27,55.0
1753,1753,La4Fe(SbS5)2,mp-1203562.cif,1.0,57.0
1756,1756,La4InSbSe9,,1.76,92.0
1758,1758,La6Sb4(SO4)3,,2.6,141.0
1759,1759,La8Sb2S15,mp-1195582.cif,2.3,110.0
1760,1760,LaBeB3O7,,5.65,31.0
1761,1761,LaCuSeO,mp-552488.cif,2.8,129.0
1762,1762,LaCuTeO,mp-546790.cif,2.31,129.0
1763,1763,LaF3,mp-905.cif,6.6,165.0
1764,1764,LaGaO3,mp-1180739.cif,4.4,62.0
1769,1769,LaNb3Bi4O5,,2.7,77.0
1772,1772,LaP,44693.cif,0.54,225.0
1776,1776,LaV2IO9,mp-1196184.cif,3.63,57.0
1778,1778,Li2TeMoO6,mp-1203622.cif,3.5,14.0
1779,1779,Li2TeWO6,mp-1196881.cif,4.0,14.0
1781,1781,LiB3,mp-1222413.cif,2.0,127.0
1785,1785,BaLi2SnSe4,,2.18,121.0
1786,1786,Li2Cd3(SeO3)4,,4.88,2.0
1787,1787,Li2CdGe,mp-10686.cif,0.99,225.0
1789,1789,Li2CdSnS4,249873.cif,3.26,31.0
1795,1795,Li2HgGe,mp-16341.cif,0.93,225.0
1797,1797,Li2SiHgS4,,2.68,31.0
1798,1798,Li2SnHgS4,,2.32,31.0
1801,1801,Li2In2SiS6,262642.cif,3.61,9.0
1803,1803,Li2MgSi,mp-1105932.cif,0.2,215.0
1804,1804,Li2PtO3,,2.3,12.0
1806,1806,Li2TiO3,mp-2931.cif,3.9,15.0
1809,1809,Li2ZnSnSe4,,1.87,7.0
1812,1812,Li3PS4,,3.68,31.0
1814,1814,Li3ScN2,mp-542435.cif,2.9,206.0
1815,1815,Li4HgGe2S7,,2.75,9.0
1816,1816,Li2Mo2Se2O11,,3.3,31.0
1817,1817,Li3AlTe4O11,,3.63,15.0
1819,1819,Li3GaTe4O11,,3.85,15.0
1820,1820,Li7Te3O9F,,4.75,173.0
1821,1821,Li8GeN4,,2.61,229.0
1823,1823,LiAsS2,mp-555874.cif,1.6,9.0
1825,1825,LiNb3(Bi2O7)2,mp-559052.cif,3.0,15.0
1826,1826,LiTa3(Bi2O7)2,,3.5,15.0
1827,1827,LiBiS2,,0.11,225.0
1831,1831,LiGa(GeS3)2,,3.52,43.0
1832,1832,LiGa(GeSe3)2,,2.64,43.0
1835,1835,LiGd5P2O13,,3.73,12.0
1836,1836,LiH3(SeO3)2,mp-696288.cif,4.9,7.0
1838,1838,LiInSnS4,,2.3,227.0
1840,1840,KLiCO3,mp-562137.cif,6.32,14.0
1841,1841,LiLa9(Ge3O13)2,,3.79,176.0
1842,1842,LiMgAs,mp-12558.cif,0.7,216.0
1843,1843,LiMgBi,mp-570213.cif,0.4,216.0
1845,1845,LiMoIO6,mp-558917.cif,2.8,4.0
1846,1846,LiB9PbO15,,4.75,161.0
1849,1849,LiSbS2,mp-1079885.cif,1.36,15.0
1851,1851,LiSbTe2,,0.129,225.0
1852,1852,LiSm3SiS7,,2.83,173.0
1853,1853,LiSn2(BiS2)5,,0.31,12.0
1854,1854,LiTaO3,mp-3666.cif,4.1,161.0
1855,1855,Cs2Li2Ga3S6Cl,,4.18,33.0
1856,1856,Lu2CrS4,,1.75,122.0
1857,1857,Lu2O3,mp-1427.cif,5.5,206.0
1858,1858,Lu5GaS9,,2.34,2.0
1859,1859,Lu(InS2)3,,1.27,55.0
1861,1861,Mg2GeSe4,mp-1192564.cif,2.02,62.0
1864,1864,Mg3(B25C4)2,,2.7,12.0
1865,1865,Mg3Bi2,mp-569018.cif,0.1,164.0
1866,1866,Mg3N2,mp-1559.cif,2.8,206.0
1867,1867,Mg3Sb2,mp-2646.cif,0.735,164.0
1868,1868,Mg5B3O9F,mp-560026.cif,5.63,62.0
1869,1869,MgSiP2,mp-2961.cif,2.35,122.0
1873,1873,MnPSe3,mp-8695.cif,2.5,148.0
1874,1874,Ta2Mn3O8,mp-31909.cif,1.89,88.0
1876,1876,MnP4,mp-487.cif,0.28,2.0
1878,1878,Mn(SbSe2)2,mp-1210700.cif,0.31,12.0
1879,1879,MnSe,24252.cif,0.69,216.0
1880,1880,MnSe2,mp-21321.cif,0.15,205.0
1883,1883,MnV(TeO4)2,,1.9,14.0
1887,1887,BaNa2GeS4,,3.7,161.0
1888,1888,BaNa2GeSe4,,2.25,161.0
1889,1889,BaNa2SnS4,,3.27,122.0
1891,1891,Na2Cd(GeSe3)2,,2.37,9.0
1893,1893,Cs2Na2Sr(B3O5)6,mp-1019611.cif,3.26,14.0
1894,1894,CsNa2Sb,mp-1096304.cif,0.8,71.0
1896,1896,Na2Ga2GeS6,mp-1190388.cif,3.29,43.0
1897,1897,Na2Ga2SnS6,,2.2,9.0
1898,1898,Na2Ga2SnS6,,2.29,43.0
1899,1899,Na2GdC(OF)3,,6.22,61.0
1901,1901,Na2Ge2Se5,mp-17964.cif,2.38,33.0
1903,1903,Na2Hg3(GeS4)2,,2.68,116.0
1904,1904,Na2Si2Hg3S8,,2.86,116.0
1905,1905,Na2Sn2Hg3S8,,2.45,116.0
1906,1906,Na2In4Se6S,,1.92,29.0
1907,1907,Na2Mo2Se2O11,mp-1195277.cif,3.1,15.0
1908,1908,Na2Nb4Se4O19,mp-1192640.cif,3.56,2.0
1909,1909,Na2Pt(IO3)6,,2.4,148.0
1910,1910,RbNa2Sb,mp-975275.cif,1.0,225.0
1911,1911,Na2Se,168447.cif,2.2,225.0
1912,1912,Na2Sn(IO3)6,,4.0,173.0
1916,1916,Na2Ti3O7,mp-3488.cif,3.51,11.0
1918,1918,Na2Zn3(SeO3)4,,4.9,15.0
1919,1919,Na2Zn(GeSe3)2,mp-1190476.cif,2.36,140.0
1922,1922,CsNa3Mo2(OF2)4,,4.36,14.0
1924,1924,Na3MoO4F,mp-1194849.cif,4.77,62.0
1925,1925,Na3Sn2ClF6,,3.88,167.0
1926,1926,Na3WClO4,,4.99,129.0
1927,1927,Na4Mg(GeSe3)2,mp-1103730.cif,2.53,5.0
1930,1930,Na6Si3S8O,,3.57,14.0
1931,1931,Na7(CoO3)2,mp-19427.cif,0.495,15.0
1932,1932,Na4Al4Si19,,0.64,223.0
1934,1934,NaAlGeS4,,3.6,140.0
1938,1938,Ba2NaCu3S5,mp-1191092.cif,0.45,12.0
1939,1939,Ba2NaSnS4Cl,,2.28,140.0
1940,1940,Ba4NaGe3S10Cl,mp-1201802.cif,3.49,173.0
1941,1941,BaNaB5O9,mp-1019554.cif,4.78,14.0
1942,1942,NaCd4P3,,1.1,166.0
1944,1944,NaCeS3,,2.15,47.0
1945,1945,NaF,mp-682.cif,10.5,225.0
1946,1946,NaFeS2,mp-28100.cif,0.58,23.0
1947,1947,NaIn2GaSe5,,2.0,155.0
1949,1949,NaGe2(PO4)3,mp-1021514.cif,3.526,167.0
1950,1950,Na(GeP)3,mp-1104707.cif,2.06,26.0
1952,1952,NaIn(IO3)4,mp-1196607.cif,4.25,14.0
1953,1953,NaIn(TeO3)2,mp-1194878.cif,4.0,61.0
1954,1954,NaIn3S5,mp-1195769.cif,2.18,55.0
1955,1955,NaIn3Se5,,2.17,145.0
1956,1956,NaInS2,mp-20289.cif,1.9,166.0
1959,1959,NaInTe2,mp-22483.cif,1.6,140.0
1962,1962,NaLaS3,,2.61,47.0
1963,1963,NaLiCdS2,,2.37,164.0
1964,1964,NaNO2,mp-2964.cif,3.13,44.0
1965,1965,NaNb2PS10,mp-557436.cif,1.72,15.0
1966,1966,NaNbSe2O7,mp-1190450.cif,3.65,36.0
1967,1967,NaNbSe2O7,,3.8,14.0
1968,1968,NaSb,26473.cif,0.82,14.0
1969,1969,NaSbF6,mp-5955.cif,3.76,225.0
1972,1972,NaSbS2,71091.cif,1.48,15.0
1973,1973,NaSbS2,mp-557179.cif,1.48,12.0
1975,1975,NaSc(SeO3)2,mp-1194561.cif,5.5,62.0
1976,1976,NaSm(PS3)2,mp-561232.cif,2.54,14.0
1977,1977,NaSn2(BiS2)5,,0.07,12.0
1978,1978,NaY(Te2O5)2,mp-1195227.cif,3.9,133.0
1981,1981,NaB5(H2O5)2,,5.61,29.0
1982,1982,Nb2Se3,mp-2330.cif,0.075,11.0
1985,1985,NbSe2,mp-1102559.cif,1.4,194.0
1989,1989,Nd2Se3,,1.75,220.0
1990,1990,Nd2Te5,mp-1119.cif,0.29,63.0
1991,1991,YbNd2CuS5,,1.35,62.0
1995,1995,Nd4InSbSe9,,1.57,92.0
1996,1996,Nd4Te7,,0.38,127.0
1997,1997,NdAs,mp-2602.cif,1.04,225.0
1998,1998,NdCuSO,mp-542314.cif,2.98,129.0
2000,2000,NdF3,mp-254.cif,6.15,165.0
2002,2002,Nd(InS2)3,,1.15,55.0
2003,2003,NdLuSe3,mp-13327.cif,1.61,63.0
2004,2004,NdTaN2O,,2.0,62.0
2005,2005,Ni(CN)2,,2.0,131.0
2007,2007,Ni2Te3O8,mp-17360.cif,3.84,15.0
2008,2008,AsOsS,mp-1214793.cif,1.3,14.0
2010,2010,POsSe,mp-1101841.cif,1.4,14.0
2018,2018,PSe,mp-28885.cif,2.5,14.0
2021,2021,PHPbO3,,3.97,36.0
2024,2024,BPb7Br3O7,mp-1201413.cif,2.62,15.0
2026,2026,BiPb2S2I3,,1.6,63.0
2027,2027,GaPb2Se2Cl(O3F)2,,4.32,4.0
2028,2028,GePb2(SeO3)4,mp-1198509.cif,4.1,14.0
2030,2030,Mg2B2Te(PbO5)2,,4.0,64.0
2031,2031,Mn(PbO2)2,mp-21823.cif,1.5,114.0
2032,2032,Nb2Pb2Se4O15,mp-1199265.cif,2.79,15.0
2033,2033,NbPb2Se2ClO8,mp-1193560.cif,3.67,4.0
2035,2035,BH(PbO2)2,mp-1105235.cif,3.76,12.0
2037,2037,Te2PdPb2(ClO3)2,mp-1193732.cif,1.96,14.0
2038,2038,SbPb2S2I3,,1.92,63.0
2039,2039,TiPb2Se2ClO7F,mp-1193369.cif,3.34,4.0
2040,2040,V2Pb2Se2O11,mp-1204734.cif,2.39,2.0
2041,2041,V3Pb2Se5O18,,3.14,62.0
2042,2042,VPb2Se2ClO8,mp-1192566.cif,2.41,4.0
2044,2044,BiP3(PbO4)3,,3.7,220.0
2045,2045,V3Bi(PbO4)3,,2.5,220.0
2046,2046,Pb3Se2(BrO3)2,mp-1194412.cif,3.73,15.0
2048,2048,Pb3O4,29094.cif,2.12,135.0
2050,2050,V2Pb4(Se2O7)3,mp-1203641.cif,3.37,43.0
2051,2051,Ga4Ge(PbS3)4,mp-1200793.cif,2.35,114.0
2054,2054,Zn2P2PbO8,,4.6,15.0
2058,2058,CdP4PbO12,,4.85,14.0
2059,2059,CoPbO3,,0.28,201.0
2060,2060,CrPbO4,mp-542031.cif,1.7,62.0
2061,2061,CrPbO4,mp-19146.cif,2.25,14.0
2062,2062,CuSbPbS3,mp-649774.cif,1.31,31.0
2066,2066,Ga2SiPbSe6,,2.17,9.0
2067,2067,Ga4PbS7,,3.08,7.0
2073,2073,SbPbIO2,,2.48,139.0
2075,2075,SnPbS3,mp-1188095.cif,1.05,62.0
2076,2076,Ta2V2PbO11,,2.24,8.0
2077,2077,Pd(IO3)2,mp-1198404.cif,1.31,61.0
2079,2079,P2Pd,mp-28266.cif,0.65,15.0
2080,2080,PPdS,mp-7280.cif,1.38,60.0
2082,2082,PdS,648749.cif,0.5,84.0
2083,2083,PdS2,mp-13682.cif,0.75,61.0
2084,2084,PdSe,mp-571383.cif,0.2,135.0
2085,2085,PdSe2,mp-2418.cif,0.4,61.0
2086,2086,Te2Pd,mp-782.cif,1.8,164.0
2088,2088,Pr2S3,,1.1,220.0
2089,2089,Pr2Te3,,1.4,220.0
2094,2094,PrAs,mp-10622.cif,1.0,225.0
2098,2098,PrMoO4F,mp-1192358.cif,3.64,14.0
2102,2102,As2Pt,mp-2513.cif,0.5,205.0
2110,2110,SnTePt,,0.1,29.0
2111,2111,Pu2TeO2,mp-1206890.cif,0.65,139.0
2112,2112,PuS,mp-2086.cif,0.24,225.0
2113,2113,Rb2NbAgS4,50463.cif,2.76,70.0
2115,2115,Rb2VAgS4,66841.cif,1.83,70.0
2116,2116,Rb2Ba(MoO4)2,,4.4,166.0
2119,2119,Rb2Cd(SeO3)2,,4.75,166.0
2120,2120,Rb2Cd3(B4O7)4,mp-1200744.cif,4.76,15.0
2121,2121,Rb2Cd3S4,mp-18556.cif,2.92,62.0
2122,2122,Rb2Cd3Se4,mp-16818.cif,2.37,62.0
2123,2123,Rb2Cd3Te4,mp-29901.cif,2.3,15.0
2125,2125,Rb2Cd(PSe3)2,mp-541897.cif,2.58,14.0
2127,2127,Rb2Cu2Sb2S5,mp-1195291.cif,1.6,14.0
2128,2128,RbCuSnS3,mp-541407.cif,1.44,15.0
2129,2129,RbCuSnSe3,,1.44,15.0
2134,2134,Rb2VCuS4,mp-15219.cif,1.85,70.0
2135,2135,Rb2GeB4O9,mp-1020707.cif,5.54,4.0
2137,2137,Rb2Hg3(GeS4)2,mp-1209424.cif,2.8,14.0
2138,2138,Rb2Sn2Hg3S8,85599.cif,2.48,14.0
2140,2140,Rb2Mo3Se3O16,mp-1194625.cif,3.1,14.0
2143,2143,Rb2Sn(IO3)6,,4.1,148.0
2144,2144,Rb2Sn3(SbS5)2,mp-1194540.cif,2.33,14.0
2145,2145,Rb2Te,55117.cif,4.5,225.0
2149,2149,Rb2Ti(AgS2)2,mp-1209316.cif,2.33,132.0
2154,2154,Rb3Al3Ge7Se20,,2.4,14.0
2155,2155,RbH2(IO3)3,mp-1196732.cif,5.08,14.0
2156,2156,Rb3Ag9(PS4)4,,2.6,57.0
2160,2160,Rb3Cd(BO2)5,mp-1200569.cif,2.34,14.0
2161,2161,Rb3Na(MoO4)2,mp-1104938.cif,4.84,164.0
2162,2162,Rb3Nb2AsSe11,mp-683902.cif,1.5,9.0
2163,2163,Rb3Sb2Br9,mp-28222.cif,2.48,164.0
2165,2165,Rb3Ta2AsS11,mp-1209358.cif,2.21,9.0
2166,2166,Rb3Zn(BO2)5,mp-1020643.cif,2.66,14.0
2167,2167,Rb3Ag9(SbS3)4,,2.0,87.0
2168,2168,Rb4Cu8(GeS4)3,,2.3,226.0
2169,2169,Rb4Ge3B6O17,mp-1020896.cif,5.42,9.0
2171,2171,Rb4Ge(PSe3)4,mp-1195251.cif,2.0,29.0
2174,2174,Rb4Ti3S14,mp-542067.cif,1.59,15.0
2176,2176,Rb2PS5,,2.3,14.0
2177,2177,Rb3FeO3,mp-555287.cif,1.546,12.0
2178,2178,Rb7Th2(P2Se7)3,mp-585963.cif,2.07,2.0
2180,2180,Rb9Bi13S24,,1.3,12.0
2181,2181,RbAg2SbS4,,2.3,152.0
2182,2182,RbAg2TeS6,,2.04,185.0
2184,2184,RbAsSe2,mp-28562.cif,1.8,15.0
2187,2187,RbBi3Se5,mp-1209506.cif,0.43,12.0
2188,2188,RbBi3Se5,,0.48,11.0
2189,2189,RbBi3Se5,mp-1209327.cif,0.8,62.0
2190,2190,RbCd4Ga5S12,,3.02,146.0
2191,2191,RbCd4Ga5Se12,,2.19,146.0
2192,2192,RbCd4Ga5Te12,,1.64,146.0
2193,2193,RbCd4In5Se12,,1.57,146.0
2195,2195,RbCl,mp-23295.cif,8.29,225.0
2197,2197,RbCu2SbS3,,1.67,2.0
2198,2198,RbV(CuS2)2,mp-15998.cif,1.45,40.0
2202,2202,RbGa(SnSe3)2,,1.8,146.0
2203,2203,RbGaSnSe4,mp-1209628.cif,1.88,14.0
2205,2205,RbH3(SeO3)2,mp-720572.cif,4.84,19.0
2206,2206,RbHgI3,,2.56,40.0
2207,2207,RbHgSbTe3,,0.2,63.0
2208,2208,RbI,mp-22903.cif,5.83,225.0
2209,2209,RbH2(IO3)3,mp-1192404.cif,4.07,1.0
2210,2210,RbInGeS4,,3.1,205.0
2211,2211,RbInS2,mp-601861.cif,3.3,15.0
2213,2213,RbInSnS4,,2.7,205.0
2215,2215,RbLa9(Ge3O13)2,,3.84,176.0
2217,2217,RbMn4In5Se12,,1.76,146.0
2218,2218,RbMoPO6,mp-1198591.cif,2.96,70.0
2219,2219,RbNb2PSe10,mp-1192452.cif,1.15,7.0
2222,2222,RbNbSe2O7,,4.1,62.0
2224,2224,RbPPbO4,,4.35,62.0
2226,2226,RbSc(SeO3)2,,4.9,186.0
2227,2227,RbTa3(TeO6)2,mp-1204836.cif,3.88,57.0
2228,2228,RbTbSe2,mp-10782.cif,2.5,166.0
2229,2229,RbY(TeO3)2,mp-1194706.cif,3.6,62.0
2230,2230,RbYbZnSe3,mp-1209070.cif,2.07,63.0
2231,2231,RbZn4Ga5S12,,3.65,146.0
2232,2232,RbZrPSe6,,2.0,26.0
2233,2233,ReO3,mp-190.cif,2.3,221.0
2234,2234,ReS2,mp-572758.cif,1.1,2.0
2235,2235,ReSe2,mp-541582.cif,1.15,2.0
2236,2236,ReSi2,mp-12605.cif,0.12,139.0
2237,2237,Rh2O3,mp-1716.cif,0.16,60.0
2238,2238,Rh2S3,15344.cif,0.8,60.0
2239,2239,As2Rh,mp-15954.cif,1.15,14.0
2241,2241,RhSe2,mp-1192175.cif,0.6,62.0
2245,2245,AsPRu,,0.8,58.0
2247,2247,RuS2,650581.cif,1.8,205.0
2248,2248,Sb2Ru,mp-20928.cif,0.3,58.0
2251,2251,SiRu,mp-189.cif,0.26,198.0
2252,2252,Te2Ru,650722.cif,0.25,205.0
2253,2253,Te2Ru,106001.cif,0.25,58.0
2254,2254,Sb3IO4,mp-1209215.cif,2.61,33.0
2255,2255,Sb3IO4,mp-1173640.cif,2.61,14.0
2257,2257,Sb8I2O11,,2.72,2.0
2258,2258,Mg3SbN,mp-1080847.cif,0.623,221.0
2262,2262,CaScBO4,,4.3,62.0
2264,2264,ScTa2NO5,,2.67,136.0
2265,2265,ScTiNbO6,,3.58,60.0
2267,2267,Si15(TeP2)4,,1.24,223.0
2268,2268,SiAs2,mp-978553.cif,0.88,55.0
2269,2269,SiB3,mp-569128.cif,2.0,74.0
2270,2270,SiO2,mp-7000.cif,8.4,152.0
2271,2271,SiO2,89292.cif,7.8,180.0
2273,2273,SiP2,mp-21065.cif,1.89,205.0
2274,2274,Sm2Mn3(SbS3)4,mp-1192255.cif,1.5,12.0
2276,2276,Sm2S3,mp-1403.cif,3.0,62.0
2278,2278,YbSm2CuS5,,1.28,193.0
2279,2279,Sm2ZrSe5,mp-1198078.cif,1.41,62.0
2280,2280,Sm3B(SO)3,mp-1105337.cif,2.5,2.0
2281,2281,Sm3SbO3,mp-983597.cif,0.0057,12.0
2286,2286,SmAs,mp-1738.cif,1.03,225.0
2287,2287,SmB66,,0.8,226.0
2288,2288,SmBiW2O9,mp-1200917.cif,3.39,62.0
2289,2289,SmCuSO,,2.9,166.0
2290,2290,SmCuSeO,mp-9194.cif,2.6,129.0
2293,2293,SmSb,mp-2281.cif,0.59,225.0
2294,2294,SmB(SbO4)2,,3.54,62.0
2297,2297,EuBH6SO9,,4.53,2.0
2298,2298,SmBH8SO10,,4.62,11.0
2299,2299,EuBH8SO10,,4.5,11.0
2302,2302,Sn2SbS2I3,mp-561134.cif,1.5,63.0
2303,2303,Sn2WO5,mp-557633.cif,2.597,14.0
2304,2304,Sn3N4,89525.cif,1.3,227.0
2305,2305,Sn3N4,,3.0,14.0
2306,2306,Sn3N4,,2.64,167.0
2307,2307,Sn3WO6,mp-556980.cif,2.49,15.0
2310,2310,Ga4SnS7,,3.1,7.0
2311,2311,Ga4SnSe7,,2.55,7.0
2313,2313,SnI2,mp-27194.cif,2.4,12.0
2315,2315,SnO,mp-999142.cif,4.3,129.0
2317,2317,SiSn,mp-1009813.cif,0.59,216.0
2319,2319,Sr2V2(SeO5)3,,2.96,14.0
2322,2322,Sr2P7I,mp-1195270.cif,2.1,198.0
2323,2323,Sr2ScSbO6,mp-1106218.cif,3.57,14.0
2324,2324,Sr2TiO4,mp-5532.cif,3.41,139.0
2325,2325,Sr2Zn2As3,mp-1104042.cif,0.04,12.0
2327,2327,Sr3Bi(PO4)3,,4.0,220.0
2328,2328,Sr3Eu(PO4)3,,3.987,220.0
2332,2332,Sr4V2(Se2O7)3,mp-1204879.cif,2.66,43.0
2333,2333,Sr5V3O12F,mp-40674.cif,4.5,176.0
2335,2335,Sr6FeAg2(SnS4)4,,1.87,220.0
2337,2337,Sr6Cd2Sb6S10O7,,1.89,8.0
2340,2340,Sr8YGe2Bi7Se24,,0.7,33.0
2342,2342,SrAg2GeSe4,,0.68,23.0
2343,2343,SrAg2SnS4,,1.08,23.0
2344,2344,SrAg2SnSe4,,0.66,23.0
2345,2345,SrBiClO2,mp-547244.cif,3.52,63.0
2346,2346,SrCrO4,mp-510607.cif,2.45,14.0
2347,2347,SrCu2SnS4,,2.06,40.0
2349,2349,SrGe2,mp-1244.cif,0.9,62.0
2351,2351,Sr(LaS2)2,,2.85,220.0
2352,2352,SrMgSnSe4,,2.0,43.0
2353,2353,SrNb2V2O11,,2.01,8.0
2354,2354,BaNb2V2O11,,2.22,8.0
2356,2356,SrPb3Br8,,3.2,62.0
2358,2358,Sr(PrS2)2,,2.7,220.0
2363,2363,SrTa2O6,mp-17715.cif,3.7,62.0
2366,2366,SrVTeHO6,,2.34,14.0
2367,2367,SrZnSO,,3.1,186.0
2368,2368,Ta2O5,mp-624688.cif,4.2,5.0
2369,2369,Ta2O5,,4.2,25.0
2370,2370,Ta2O5,,4.2,49.0
2374,2374,Tb4GaSbS9,mp-1202576.cif,2.44,41.0
2378,2378,TbB(SbO4)2,,3.53,62.0
2379,2379,TcCl2,,0.12,87.0
2381,2381,TeI,mp-23273.cif,1.1,2.0
2382,2382,TeI4,mp-570884.cif,1.1,62.0
2383,2383,Th2Se5,mp-2392.cif,0.37,60.0
2384,2384,ThSO,mp-8136.cif,2.22,129.0
2387,2387,Ti2S3,,0.3,166.0
2388,2388,TiCoSb,mp-5967.cif,0.95,216.0
2389,2389,TiNiSb,mp-20952.cif,0.42,216.0
2394,2394,TiTlSe2,,0.56,140.0
2395,2395,Sr5Zn(Ga2S5)3,,3.15,40.0
2399,2399,Ti7Tl18Pb2S25,,0.5,205.0
2401,2401,TlSnAuSe3,,1.2,130.0
2402,2402,Tl2PAuS4,mp-9510.cif,2.2,11.0
2403,2403,CeTl2P2S7,mp-638100.cif,2.4,14.0
2404,2404,Tl2Cu2SnS4,mp-18240.cif,1.4,72.0
2405,2405,Tl2Hg3S4,182745.cif,2.05,15.0
2408,2408,Tl2InGaTe4,,0.88,140.0
2410,2410,Tl2Se,,0.37,85.0
2411,2411,Tl2TeBr6,mp-31076.cif,2.06,128.0
2412,2412,Tl2TeI6,,1.5,225.0
